,hpso04b (Ingest) [Nf_max=65536] [Na=140],hpso04b (RCAL) [Nf_max=65536] [Na=140],hpso04b (FastImg) [Nf_max=65536] [Na=140],hpso04b (PSS) [Nf_max=65536] [Na=140],hpso04c (Ingest) [Na=140],hpso04c (RCAL) [Na=140],hpso04c (FastImg) [Na=140],hpso04c (PSS) [Na=140],hpso05b (Ingest) [Na=140],hpso05b (RCAL) [Na=140],hpso05b (FastImg) [Na=140],hpso05b (PST) [Na=140],hpso13 (Ingest) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (RCAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (FastImg) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (ICAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepA) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepB) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepC) [Nf_max=65536] [Na=140] [Bmax=35000],hpso14 (Ingest) [Na=140] [Bmax=25000],hpso14 (RCAL) [Na=140] [Bmax=25000],hpso14 (FastImg) [Na=140] [Bmax=25000],hpso14 (ICAL) [Na=140] [Bmax=25000],hpso14 (DPrepA) [Na=140] [Bmax=25000],hpso14 (DPrepB) [Na=140] [Bmax=25000],hpso14 (DPrepC) [Na=140] [Bmax=25000],hpso15 (Ingest) [Na=140] [Bmax=15000],hpso15 (RCAL) [Na=140] [Bmax=15000],hpso15 (FastImg) [Na=140] [Bmax=15000],hpso15 (ICAL) [Na=140] [Bmax=15000],hpso15 (DPrepA) [Na=140] [Bmax=15000],hpso15 (DPrepB) [Na=140] [Bmax=15000],hpso15 (DPrepC) [Na=140] [Bmax=15000],hpso18 (Ingest) [Na=140],hpso18 (RCAL) [Na=140],hpso18 (FastImg) [Na=140],hpso18 (SinglePulse) [Na=140],hpso22 (Ingest) [Na=140],hpso22 (RCAL) [Na=140],hpso22 (FastImg) [Na=140],hpso22 (ICAL) [Na=140],hpso22 (DPrepA) [Na=140],hpso22 (DPrepB) [Na=140],hpso27and33 (Ingest) [Na=140] [Bmax=30000],hpso27and33 (RCAL) [Na=140] [Bmax=30000],hpso27and33 (FastImg) [Na=140] [Bmax=30000],hpso27and33 (ICAL) [Na=140] [Bmax=30000],hpso27and33 (DPrepA) [Na=140] [Bmax=30000],hpso27and33 (DPrepB) [Na=140] [Bmax=30000],hpso32 (Ingest) [Na=140] [Bmax=20000],hpso32 (RCAL) [Na=140] [Bmax=20000],hpso32 (FastImg) [Na=140] [Bmax=20000],hpso32 (ICAL) [Na=140] [Bmax=20000],hpso32 (DPrepB) [Na=140] [Bmax=20000],hpso37a (Ingest) [Na=140] [Bmax=120000],hpso37a (RCAL) [Na=140] [Bmax=120000],hpso37a (FastImg) [Na=140] [Bmax=120000],hpso37a (ICAL) [Na=140] [Bmax=120000],hpso37a (DPrepA) [Na=140] [Bmax=120000],hpso37a (DPrepB) [Na=140] [Bmax=120000],hpso37b (Ingest) [Na=140] [Bmax=120000],hpso37b (RCAL) [Na=140] [Bmax=120000],hpso37b (FastImg) [Na=140] [Bmax=120000],hpso37b (ICAL) [Na=140] [Bmax=120000],hpso37b (DPrepA) [Na=140] [Bmax=120000],hpso37b (DPrepB) [Na=140] [Bmax=120000],hpso37c (Ingest) [Na=140] [Bmax=120000],hpso37c (RCAL) [Na=140] [Bmax=120000],hpso37c (FastImg) [Na=140] [Bmax=120000],hpso37c (ICAL) [Na=140] [Bmax=120000],hpso37c (DPrepA) [Na=140] [Bmax=120000],hpso37c (DPrepB) [Na=140] [Bmax=120000],hpso38a (Ingest) [Na=140],hpso38a (RCAL) [Na=140],hpso38a (FastImg) [Na=140],hpso38a (ICAL) [Na=140],hpso38a (DPrepA) [Na=140],hpso38a (DPrepB) [Na=140],hpso38b (Ingest) [Na=140],hpso38b (RCAL) [Na=140],hpso38b (FastImg) [Na=140],hpso38b (ICAL) [Na=140],hpso38b (DPrepA) [Na=140],hpso38b (DPrepB) [Na=140],max_mid_band1 (Ingest) [Na=140],max_mid_band1 (RCAL) [Na=140],max_mid_band1 (FastImg) [Na=140],max_mid_band1 (ICAL) [Na=140],max_mid_band1 (DPrepA) [Na=140],max_mid_band1 (DPrepA_Image) [Na=140],max_mid_band1 (DPrepB) [Na=140],max_mid_band1 (DPrepC) [Na=140],max_mid_band1 (DPrepD) [Na=140],max_mid_band2 (Ingest) [Na=140],max_mid_band2 (RCAL) [Na=140],max_mid_band2 (FastImg) [Na=140],max_mid_band2 (ICAL) [Na=140],max_mid_band2 (DPrepA) [Na=140],max_mid_band2 (DPrepA_Image) [Na=140],max_mid_band2 (DPrepB) [Na=140],max_mid_band2 (DPrepC) [Na=140],max_mid_band2 (DPrepD) [Na=140],max_mid_band5a_1 (Ingest) [Na=140],max_mid_band5a_1 (RCAL) [Na=140],max_mid_band5a_1 (FastImg) [Na=140],max_mid_band5a_1 (ICAL) [Na=140],max_mid_band5a_1 (DPrepA) [Na=140],max_mid_band5a_1 (DPrepA_Image) [Na=140],max_mid_band5a_1 (DPrepB) [Na=140],max_mid_band5a_1 (DPrepC) [Na=140],max_mid_band5a_1 (DPrepD) [Na=140],max_mid_band5a_2 (Ingest) [Na=140],max_mid_band5a_2 (RCAL) [Na=140],max_mid_band5a_2 (FastImg) [Na=140],max_mid_band5a_2 (ICAL) [Na=140],max_mid_band5a_2 (DPrepA) [Na=140],max_mid_band5a_2 (DPrepA_Image) [Na=140],max_mid_band5a_2 (DPrepB) [Na=140],max_mid_band5a_2 (DPrepC) [Na=140],max_mid_band5a_2 (DPrepD) [Na=140],max_mid_band5b_1 (Ingest) [Na=140],max_mid_band5b_1 (RCAL) [Na=140],max_mid_band5b_1 (FastImg) [Na=140],max_mid_band5b_1 (ICAL) [Na=140],max_mid_band5b_1 (DPrepA) [Na=140],max_mid_band5b_1 (DPrepA_Image) [Na=140],max_mid_band5b_1 (DPrepB) [Na=140],max_mid_band5b_1 (DPrepC) [Na=140],max_mid_band5b_1 (DPrepD) [Na=140],max_mid_band5b_2 (Ingest) [Na=140],max_mid_band5b_2 (RCAL) [Na=140],max_mid_band5b_2 (FastImg) [Na=140],max_mid_band5b_2 (ICAL) [Na=140],max_mid_band5b_2 (DPrepA) [Na=140],max_mid_band5b_2 (DPrepA_Image) [Na=140],max_mid_band5b_2 (DPrepB) [Na=140],max_mid_band5b_2 (DPrepC) [Na=140],max_mid_band5b_2 (DPrepD) [Na=140]
-> FFT [Mvis/s],,0.044215575321809246,0.06550455603231,,,0.040312461639041564,0.06718743606506927,,,0.05133636614646969,0.06654714130097922,,,0.01368302725089968,0.01520336361211075,0.013683027250899676,0.010135575741407167,0.025338939353517918,0.025338939353517918,,0.012191268640839185,0.011288211704480725,0.010159390534032654,0.018813686174134543,0.018813686174134543,0.0162087142423313,,0.007022170737123371,0.0065020099417808985,0.005851808947602809,0.010836683236301497,0.010836683236301497,0.009094389641772458,,0.044215575321809246,0.06550455603231,,,0.07166972996939953,0.06636086108277733,0.07166972996939953,0.06636086108277732,0.11060143513796221,,0.015259650786399445,0.014129306283703189,0.023548843806171983,0.023548843806171983,0.023548843806171983,,0.010268551579603907,0.009507918129262877,0.015846530215438123,0.015846530215438123,,0.043599002246855555,0.056517225134812756,0.040692402097065185,0.03767815008987517,0.028258612567406378,,0.043599002246855555,0.056517225134812756,0.043599002246855555,0.03767815008987517,0.028258612567406378,,0.043599002246855555,0.056517225134812756,0.043599002246855555,0.03767815008987517,0.028258612567406378,,0.07335630731005316,0.06792250676856774,0.061130256091710966,0.06792250676856773,0.11320417794761292,,0.07335630731005316,0.06792250676856774,0.07335630731005316,0.06792250676856773,0.11320417794761292,,0.03850706842351465,0.07130938596947156,0.038507068423514645,0.03565469298473578,0.035654692984735774,0.035654692984735774,0.02852375438778862,,,0.05133636614646969,0.06654714130097922,0.051336366146469685,0.044364760867319476,0.044364760867319476,0.03327357065048961,0.03327357065048961,,,0.07270100210281097,0.06731574268778791,0.07270100210281098,0.04487716179185861,0.06731574268778792,0.06731574268778792,0.11219290447964654,,,0.06965045796135354,0.06449116477903105,0.06965045796135354,0.1074852746317184,0.06449116477903104,0.1074852746317184,0.1074852746317184,,,0.07614402004109681,0.07050372226027482,0.07614402004109681,0.0705037222602748,0.0705037222602748,0.11750620376712469,0.11750620376712469,,,0.08732350561345277,0.06468407823218723,0.08732350561345277,0.10780679705364538,0.10780679705364535,0.10780679705364538,0.10780679705364538,
-> IFFT [Mvis/s],,0.22107787660904624,0.06550455603231,,,0.20156230819520785,0.06718743606506927,,,0.25668183073234846,0.06654714130097922,,,0.0684151362544984,0.01520336361211075,0.06841513625449838,0.010135575741407167,0.025338939353517918,0.0015836837095948699,,0.06095634320419592,0.011288211704480725,0.05079695267016327,0.018813686174134543,0.01254245744942303,0.0006483485696932521,,0.03511085368561686,0.0065020099417808985,0.029259044738014044,0.010836683236301497,0.008335910181770382,0.0007275511713417967,,0.22107787660904624,0.06550455603231,,,0.35834864984699766,0.06636086108277733,0.35834864984699766,0.06636086108277732,0.02212028702759244,,0.07629825393199723,0.014129306283703189,0.11774421903085991,0.023548843806171983,0.006728241087477709,,0.05134275789801952,0.009507918129262877,0.0792326510771906,0.004527580061553749,,0.21799501123427778,0.056517225134812756,0.20346201048532594,0.03767815008987517,0.008073889304973252,,0.21799501123427778,0.056517225134812756,0.21799501123427778,0.03767815008987517,0.008073889304973252,,0.21799501123427778,0.056517225134812756,0.21799501123427778,0.03767815008987517,0.008073889304973252,,0.36678153655026585,0.06792250676856774,0.3056512804585548,0.06792250676856773,0.02264083558952258,,0.36678153655026585,0.06792250676856774,0.36678153655026585,0.06792250676856773,0.02264083558952258,,0.19253534211757325,0.07130938596947156,0.19253534211757323,0.03565469298473578,0.17827346492367888,0.01426187719389431,8.70475902947651e-05,,,0.25668183073234846,0.06654714130097922,0.25668183073234846,0.044364760867319476,0.22182380433659737,0.013309428260195842,0.00010154287918240237,,,0.36350501051405487,0.06731574268778791,0.36350501051405487,0.04487716179185861,0.3365787134389396,0.026926297075115166,0.00034238557275282754,,,0.3482522898067677,0.06449116477903105,0.3482522898067677,0.1074852746317184,0.32245582389515515,0.042994109852687354,0.00032801902658605473,,,0.38072010020548414,0.07050372226027482,0.3807201002054841,0.0705037222602748,0.352518611301374,0.04700248150684987,0.00035860047536353964,,,0.43661752806726384,0.06468407823218723,0.43661752806726384,0.10780679705364538,0.5390339852682269,0.04312271882145815,0.00032900023514906426,
-> Solve [Mvis/s],,4554.7519999999995,,,,2686.777199302238,,,,4554.7519999999995,,,,194.3510973664108,,194.3510973664108,,,,,117.93479041523477,,78.62384719529143,,,,,30.692254223031906,,20.46179214505883,,,,,4554.7519999999995,,,,4554.7519999999995,,4554.7519999999995,,,,433.3339232877268,,160.49774693465926,,,,375.9175540604289,,139.2335175025436,,,4550.150286920505,,3620.9352576920223,,,,4550.150286920505,,4550.150286920505,,,,4550.150286920505,,4550.150286920505,,,,4554.7519999999995,,3784.117067279967,,,,4554.7519999999995,,4554.7519999999995,,,,4554.7519999999995,,4554.7519999999995,,,,,,,4554.7519999999995,,4554.7519999999995,,,,,,,4554.7519999999995,,4554.7519999999995,,,,,,,4262.223224402249,,4262.223224402249,,,,,,,3368.7254283495236,,3368.7254283495236,,,,,,,2170.9013075888956,,2170.9013075888956,,,,,
-> Degrid [Mvis/s],,9089.465254764995,404153.6761964456,,,4559.42776096881,128318.40187863461,,,17891.490211529173,404443.84394664783,,,233.07598830726837,2437.071913778275,233.0759910414143,47.58314273142206,2203.047665564107,25181.506929907213,,198.8630882360456,1606.6099252747306,96.92911505705563,601.9088095708709,872.8806837725294,11245.857126741257,,30.680419809701807,730.601892897212,16.939779624774967,80.17199106104943,107.35884846938292,1134.5930458110743,,9089.465254764995,404153.6761964456,,,26586.480405466984,101722.28706336782,26586.480405466984,9981.947449960539,455873.62385397934,,651.3138755361607,4492.9604034781005,3755.0315989764804,1744.9773507923112,5907.8591289672995,,378.6245865169999,5611.976083636792,2207.727704770712,1466.549376874373,,13544.377583166577,359532.6747508115,11671.938626955933,3805.7815449564287,5186.728366665298,,13544.377583166577,359532.6747508115,13544.37758348463,3805.7815449564287,5186.728366665298,,13544.377583166577,359532.6747508115,13544.37758348463,3805.7815449564287,5186.728366665298,,33100.10016203954,116746.69797148037,15779.480627036683,13676.925272686887,606169.7144297542,,33100.10016203954,116746.69797148037,33100.10016203954,13676.925272686887,606169.7144297542,,10652.800669072582,2113707.221976462,10652.800819570411,3401.466412800619,3737.5588115125024,10405.441194894687,207138.59820344677,,,17891.490211529173,404443.84394664783,17891.488289336965,4682.627664445139,5643.198176856287,5722.598009785496,193923.423770141,,,45541.50670839203,120633.90901297661,45541.50670839203,2672.481383209288,16304.549232488343,32609.098458650977,8119285.55670648,,,27865.259913069192,89622.32869254357,27865.259913069192,64233.53353404016,10210.788634813247,315253.53762825165,5769379.22451815,,,25869.257518134596,74335.10817817705,25869.257518134596,7829.047850755211,7829.047851015223,336514.292807761,4587646.889691018,,,26375.491977385154,42346.20295724043,26375.491977385154,37677.09513284295,37677.09513287978,75360.14273565567,2821825.2943345243,
-> Reprojection [Mvis/s],,1955.0171010385861,,,,1625.094563399198,,,,2635.4224891243985,,,,187.22523474886316,,187.22523474886316,102.72989560980143,642.0618475612589,642.061847561259,,148.6270310731089,,103.21321602299228,353.9547874588212,353.9547874588212,262.7224173895535,,49.310881861311785,,34.24366795924429,117.43370356393787,117.43370356393787,82.70792295637818,,1955.0171010385861,,,,5136.550193886644,,5136.550193886643,4403.763883647671,12232.677454576862,,232.85694212286123,,554.5480446074845,554.5480446074845,554.5480446074845,,105.44315154298586,,251.11251986879338,251.11251986879338,,1900.872996921316,,1655.8715884292355,1419.64299419516,798.5491842347776,,1900.872996921316,,1900.872996921316,1419.64299419516,798.5491842347776,,1900.872996921316,,1900.872996921316,1419.64299419516,798.5491842347776,,5381.1478221669595,,3736.908209838167,4613.466925726131,12815.18590479481,,5381.1478221669595,,5381.1478221669595,4613.466925726131,12815.18590479481,,1482.7943185732386,,1482.7943185732388,1271.2571318357668,158.90714147947085,1271.2571318357666,813.6045643748906,,,2635.4224891243985,,2635.4224891243985,1968.2320068144418,246.02900085180522,1107.1305038331234,1107.1305038331236,,,5285.435706752923,,5285.435706752923,2013.9596504926542,566.426151701059,4531.409213608472,12587.24781557909,,,4851.186294226275,,4851.186294226275,11553.084262655928,519.8887918195168,11553.084262655926,11553.084262655928,,,5797.911788018951,,5797.9117880189515,4970.774852553969,621.3468565692461,13807.707923761025,13807.707923761027,,,7625.394632622716,,7625.394632622716,11622.305490965882,1452.7881863707353,11622.305490965882,11622.305490965882,
-> Identify Component [Mvis/s],,,,,,,,,,,,,,,,187.22523474886316,102.72989560980143,642.0618475612589,642.061847561259,,,,103.21321602299228,353.9547874588212,353.9547874588212,262.7224173895535,,,,34.24366795924429,117.43370356393787,117.43370356393787,82.70792295637818,,,,,,,,5136.550193886643,4403.763883647671,12232.677454576862,,,,554.5480446074845,554.5480446074845,554.5480446074845,,,,251.11251986879336,251.11251986879338,,,,1655.871588429235,1419.64299419516,798.5491842347776,,,,1900.8729969213157,1419.64299419516,798.5491842347776,,,,1900.8729969213157,1419.64299419516,798.5491842347776,,,,3736.908209838167,4613.466925726131,12815.18590479481,,,,5381.147822166959,4613.466925726131,12815.18590479481,,,,1482.7943185732383,1271.2571318357668,1271.2571318357668,1271.2571318357666,813.6045643748906,,,,,2635.4224891243985,1968.2320068144418,1968.2320068144418,1107.1305038331234,1107.1305038331236,,,,,5285.435706752923,2013.9596504926542,4531.409213608472,4531.409213608472,12587.24781557909,,,,,4851.186294226273,11553.084262655928,4159.110334556134,11553.084262655926,11553.084262655928,,,,,5797.91178801895,4970.774852553969,4970.774852553969,13807.707923761025,13807.707923761027,,,,,7625.394632622716,11622.305490965882,11622.305490965882,11622.305490965882,11622.305490965882,
-> Reprojection Predict [Mvis/s],,9775.08550519293,,,,8125.47281699599,,,,13177.112445621993,,,,936.1261737443159,,936.1261737443159,102.72989560980143,642.0618475612589,40.12886547257869,,743.1351553655445,,516.0660801149614,353.9547874588212,235.96985830588085,10.508896695582141,,246.5544093065589,,171.21833979622144,117.43370356393787,90.33361812610606,6.616633836510254,,9775.08550519293,,,,25682.750969433215,,25682.750969433215,4403.763883647671,2446.5354909153725,,1164.284710614306,,2772.7402230374228,554.5480446074845,158.4422984592813,,527.2157577149293,,1255.562599343967,71.74643424822669,,9504.364984606578,,8279.357942146176,1419.64299419516,228.15690978136507,,9504.364984606578,,9504.364984606578,1419.64299419516,228.15690978136507,,9504.364984606578,,9504.364984606578,1419.64299419516,228.15690978136507,,26905.739110834802,,18684.541049190833,4613.466925726131,2563.037180958962,,26905.739110834802,,26905.739110834802,4613.466925726131,2563.037180958962,,7413.971592866193,,7413.971592866194,1271.2571318357668,158.90714147947085,508.50285273430666,2.482924085616732,,,13177.112445621993,,13177.112445621993,1968.2320068144418,246.02900085180522,442.8522015332494,3.378694164529796,,,26427.178533764614,,26427.178533764614,2013.9596504926542,566.426151701059,1812.563685443389,38.41323185906705,,,24255.931471131375,,24255.931471131375,11553.084262655928,519.8887918195168,4621.23370506237,35.25721515703103,,,28989.558940094754,,28989.558940094757,4970.774852553969,621.3468565692461,5523.08316950441,42.137780529055874,,,38126.97316311358,,38126.97316311358,11622.305490965882,1452.7881863707353,4648.922196386353,35.468461581316774,
-> Gridding Kernel Update [Mvis/s],,0.5040802310485835,2.3906046283210007,,,0.45415989077723445,1.6922395911096828,,,0.48942009521414664,1.782880132293977,,,0.16654427873779734,0.7402979811127316,0.16654427986737128,0.12229017282523832,0.6365394625226622,1.7641198839510674,,0.14678233392617812,0.6611180997510547,0.11288185779218737,0.29118825494721867,0.3786032080157967,0.9237957004993265,,0.09657345513146486,0.5866683379942058,0.07945000708822894,0.16991394553792047,0.21667786786344387,0.39525586950515323,,0.5040802310485835,2.3906046283210007,,,0.4761733372528874,1.1932974566165269,0.4761733372528874,0.42079713470295166,1.744820324110384,,0.15742278893567344,0.6822479675826715,0.31822283216569064,0.29575870135711807,0.44903883649724285,,0.1145902481526045,0.6198512611183432,0.21954201823985067,0.29167474716347236,,0.44713313405652505,1.8502576107051765,0.41541824197178195,0.3215742166436838,0.3289742477444177,,0.44713313405652505,1.8502576107051765,0.44713313406440347,0.3215742166436838,0.3289742477444177,,0.44713313405652505,1.8502576107051765,0.44713313406440347,0.3215742166436838,0.3289742477444177,,0.5111439132608775,1.199771533300102,0.3685542042875137,0.4628770234973198,2.0094773114848112,,0.5111439132608775,1.199771533300102,0.5111439132608775,0.4628770234973198,2.0094773114848112,,0.32580227027177416,3.7922056733555913,0.3258022738567767,0.26755110565633555,0.28719069956323684,0.36685954243134644,0.6907466133918362,,,0.48942009521414664,1.782880132293977,0.4894200543945308,0.3446279508449156,0.3941745053057964,0.3168760112806274,0.5498259812849868,,,0.6705593413089439,1.229915999522395,0.6705593413089439,0.2661679330663169,0.5658629609228895,0.5658629608973689,5.232232507198074,,,0.5532621258942986,1.2080963844904204,0.5532621258942986,1.0651326866251856,0.4792500278895402,1.9557941485863397,3.800982116468329,,,0.545072234839238,1.2517996886243434,0.545072234839238,0.4522651546331856,0.45226515463656514,1.8990626188554278,3.100531646267126,,,0.6383429540853227,1.1805252117286682,0.6383429540853227,1.0405123854994915,1.0405123854997143,1.040512385403605,2.02261243653269,
-> Phase Rotation Predict [Mvis/s],,4554.752,2244.717784868289,,,2686.7771993022384,1288.6455491658749,,,4554.752,3676.201398824012,,,194.35109736641078,120.71395870059587,194.35109736641078,71.98336952371174,71.98336952371174,239.05923054904088,,117.93479041523476,73.25116964208951,78.62384719529143,43.680786547386944,43.680786547386944,148.63545770900276,,30.692254223031906,19.06368715244898,20.46179214505883,11.368048069541869,11.368048069541869,39.740645939529045,,4554.752,2244.717784868289,,,4554.752,2413.9905612503303,4554.752,1864.1121546693882,1864.1121546693882,,433.3339232877268,269.14968207773813,160.49774693465923,160.49774693465923,160.49774693465923,,375.9175540604289,233.48927667404732,139.23351750254358,139.23351750254358,,4550.150286920505,2605.0339847736873,3620.9352576920232,2011.6388856430738,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,2011.6388856430738,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,2011.6388856430738,2011.6388856430738,,4554.752,2722.431985198139,3784.1170672799667,2102.294240225825,2102.294240225825,,4554.752,2722.431985198139,4554.752,2102.294240225825,2102.294240225825,,4554.752,4554.752,4554.752,4554.7519999999995,4554.752,4554.752,4554.752,,,4554.752,3676.201398824012,4554.752,2838.806333427602,2838.806333427602,2838.806333427602,4554.752,,,4554.752,2602.6310768913586,4554.752,2009.782574538387,2009.782574538387,2009.782574538387,4554.752,,,4262.223224402249,2044.2689971154305,4262.223224402249,1578.6088150201183,1578.6088150201183,1578.6088150201183,4554.752,,,3368.725428349522,1615.7248613063969,3368.725428349522,1247.6818452558368,1247.6818452558368,1247.6818452558368,4554.752,,,2170.901307588895,1041.2186281361596,2170.9013075888956,804.0413970810904,804.0413970810904,804.0413970810904,4554.752,
-> Correct [Mvis/s],,4554.752,2244.717784868289,,,2686.7771993022384,1288.6455491658749,,,4554.752,3676.201398824012,,,194.35109736641078,120.71395870059587,194.35109736641078,71.98336952371174,71.98336952371174,239.05923054904088,,117.93479041523476,73.25116964208951,78.62384719529143,43.680786547386944,43.680786547386944,148.63545770900276,,30.692254223031906,19.06368715244898,20.46179214505883,11.368048069541869,11.368048069541869,39.740645939529045,,4554.752,2244.717784868289,,,4554.752,2413.9905612503303,4554.752,1864.1121546693882,1864.1121546693882,,433.3339232877268,269.14968207773813,160.49774693465923,160.49774693465923,160.49774693465923,,375.9175540604289,233.48927667404732,139.23351750254358,139.23351750254358,,4550.150286920505,2605.0339847736873,3620.9352576920232,2011.6388856430738,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,2011.6388856430738,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,2011.6388856430738,2011.6388856430738,,4554.752,2722.431985198139,3784.1170672799667,2102.294240225825,2102.294240225825,,4554.752,2722.431985198139,4554.752,2102.294240225825,2102.294240225825,,4554.752,4554.752,4554.752,4554.752,4554.752,4554.752,4554.752,4554.752,,4554.752,3676.201398824012,4554.752,2838.806333427602,2838.806333427602,2838.806333427602,4554.752,4554.752,,4554.752,2602.6310768913586,4554.752,2009.782574538387,2009.782574538387,2009.782574538387,4554.752,3662.5830539222648,,4262.223224402249,2044.2689971154305,4262.223224402249,1578.6088150201183,1578.6088150201183,1578.6088150201183,4554.752,2876.8213753880423,,3368.725428349522,1615.7248613063969,3368.725428349522,1247.6818452558368,1247.6818452558368,1247.6818452558368,4554.752,2273.74781478066,,2170.901307588895,1041.2186281361596,2170.9013075888956,804.0413970810904,804.0413970810904,804.0413970810904,4554.752,1465.2670552753202
-> Grid [Mvis/s],,9089.465254764995,404153.6761964456,,,4559.42776096881,128318.40187863461,,,17891.490211529173,404443.84394664783,,,233.07598830726837,2437.071913778275,233.0759910414143,47.58314273142206,2203.047665564107,25181.506929907213,,198.8630882360456,1606.6099252747306,96.92911505705563,601.9088095708709,872.8806837725294,11245.857126741257,,30.680419809701807,730.601892897212,16.939779624774967,80.17199106104943,107.35884846938292,1134.5930458110743,,9089.465254764995,404153.6761964456,,,26586.480405466984,101722.28706336782,26586.480405466984,9981.947449960539,455873.62385397934,,651.3138755361607,4492.9604034781005,3755.0315989764804,1744.9773507923112,5907.8591289672995,,378.6245865169999,5611.976083636792,2207.727704770712,1466.549376874373,,13544.377583166577,359532.6747508115,11671.938626955933,3805.7815449564287,5186.728366665298,,13544.377583166577,359532.6747508115,13544.37758348463,3805.7815449564287,5186.728366665298,,13544.377583166577,359532.6747508115,13544.37758348463,3805.7815449564287,5186.728366665298,,33100.10016203954,116746.69797148037,15779.480627036683,13676.925272686887,606169.7144297542,,33100.10016203954,116746.69797148037,33100.10016203954,13676.925272686887,606169.7144297542,,10652.800669072582,2113707.221976462,10652.800819570411,3401.466412800619,3737.5588115125024,10405.441194894687,207138.59820344677,,,17891.490211529173,404443.84394664783,17891.488289336965,4682.627664445139,5643.198176856287,5722.598009785496,193923.423770141,,,45541.50670839203,120633.90901297661,45541.50670839203,2672.481383209288,16304.549232488343,32609.098458650977,8119285.55670648,,,27865.259913069192,89622.32869254357,27865.259913069192,64233.53353404016,10210.788634813247,315253.53762825165,5769379.22451815,,,25869.257518134596,74335.10817817705,25869.257518134596,7829.047850755211,7829.047851015223,336514.292807761,4587646.889691018,,,26375.491977385154,42346.20295724043,26375.491977385154,37677.09513284295,37677.09513287978,75360.14273565567,2821825.2943345243,
-> Phase Rotation [Mvis/s],,4554.752,2244.717784868289,,,2686.7771993022384,1288.6455491658749,,,4554.752,3676.201398824012,,,194.35109736641078,120.71395870059587,194.35109736641078,14.396673904742348,71.98336952371174,239.05923054904088,,117.93479041523476,73.25116964208951,78.62384719529143,8.736157309477386,43.680786547386944,148.63545770900276,,30.692254223031906,19.06368715244898,20.46179214505883,2.273609613908374,11.368048069541869,39.740645939529045,,4554.752,2244.717784868289,,,4554.752,2413.9905612503303,4554.752,372.8224309338776,1864.1121546693882,,433.3339232877268,269.14968207773813,160.49774693465923,32.09954938693185,160.49774693465923,,375.9175540604289,233.48927667404732,139.23351750254358,139.23351750254358,,4550.150286920505,2605.0339847736873,3620.9352576920232,402.32777712861474,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,402.32777712861474,2011.6388856430738,,4550.150286920505,2605.0339847736873,4550.150286920505,402.32777712861474,2011.6388856430738,,4554.752,2722.431985198139,3784.1170672799667,420.4588480451649,2102.294240225825,,4554.752,2722.431985198139,4554.752,420.4588480451649,2102.294240225825,,4554.752,4554.752,4554.752,910.9503999999998,4554.752,4554.752,4554.752,,,4554.752,3676.201398824012,4554.752,567.7612666855204,2838.806333427602,2838.806333427602,4554.752,,,4554.752,2602.6310768913586,4554.752,401.95651490767733,2009.782574538387,2009.782574538387,4554.752,,,4262.223224402249,2044.2689971154305,4262.223224402249,315.7217630040236,1578.6088150201183,1578.6088150201183,4554.752,,,3368.725428349522,1615.7248613063969,3368.725428349522,249.5363690511673,1247.6818452558368,1247.6818452558368,4554.752,,,2170.901307588895,1041.2186281361596,2170.9013075888956,160.8082794162181,804.0413970810904,804.0413970810904,4554.752,
